profile_id,full_name,phone,customer_segment
1,Anusha Pariti,8105987404,Grade B
2,Ashish Singh,9876890463,Grade A
3,Bhaskar Maheshwari,9801834992,Grade A
4,Garima Yadav,81059237004,Grade B
5,Tanvi Mann,9178352769,Grade B
6,Harish Sahai,9876548763,Grade A
7,Kamal Gera,8105987404,Grade C
8,Tushar Kapoor,8926537154,Grade C
9,Shivshankar Das,9801834992,Grade B
10,Aditi Jain,9873123456,Grade B
11,Deepa Sudhakar,7896785432,Grade B
12,Umang Parejiya,7896543674,Grade A
13,Mitali Gupta,8796751238,Grade A
14,Manisha Yadav,9867845182,Grade B
15,Shivani Godha,9878673428,Grade C
16,Rajan Pandey,8987647811,Grade C
17,Roosena Manuel,9875623345,Grade A
18,Prabhjot Gill,9800786688,Grade B
19,Ankita Sharma,9988789656,Grade B
20,Karan Singh,8976665768,Grade B
